alpha(deg)	e23
65.0	5.608913956406624e-08
66.0	5.967247278926625e-08
67.0	6.323762794014618e-08
68.0	6.678352362207493e-08
69.0	7.030908866496368e-08
70.0	7.381324209237866e-08
71.0	7.729491309449588e-08
72.0	8.07530409709905e-08
73.0	8.418657510709342e-08
74.0	8.759447493234499e-08
75.0	9.0975690005258e-08
76.0	9.432918987755801e-08
77.0	9.765396411051648e-08
78.0	1.0094900241029142e-07
79.0	1.0421325438181078e-07
80.0	1.0744579975399955e-07
81.0	1.1064563820376006e-07
82.0	1.1381176944570336e-07
83.0	1.1694319329568046e-07
84.0	1.2003900942263282e-07
85.0	1.2309821764016964e-07
86.0	1.2612001769936668e-07
87.0	1.2910330940844733e-07
88.0	1.3204739250827486e-07
89.0	1.3495116688319312e-07
90.0	1.2343923132400756e-07
91.0	1.4063448860535431e-07
92.0	1.4341243555766312e-07
93.0	1.4614657306259963e-07
94.0	1.4883630088472933e-07
95.0	1.514806189465755e-07
96.0	1.5407882704057173e-07
97.0	1.5663002502780508e-07
98.0	1.5913361276732833e-07
99.0	1.6158869012344949e-07
100.0	1.6399455695949538e-07
101.0	1.6635041318310816e-07
102.0	1.6865565859622255e-07
103.0	1.7090949315051273e-07
104.0	1.731113166920265e-07
105.0	1.7526032913209735e-07
106.0	1.7735603031794712e-07
107.0	1.793976202244708e-07
108.0	1.8138469867905236e-07
109.0	1.8331646561623443e-07
110.0	1.8519232096938922e-07
111.0	1.8701186460946312e-07
112.0	1.8877439649202405e-07
113.0	1.9047941653067744e-07
114.0	1.9212642463953882e-07
115.0	1.9371492075360028e-07
116.0	1.9524440480816174e-07
117.0	1.9671437675914276e-07
118.0	1.981245365010696e-07
119.0	1.9947428403141823e-07
120.0	2.0076321928616858e-07
121.0	2.0199104222163916e-07
122.0	2.031573527744788e-07
123.0	2.0426175094207777e-07
124.0	2.053039366814071e-07
125.0	2.0628360992963886e-07
126.0	2.0720037070461192e-07
127.0	2.0805411896379442e-07
128.0	2.0884445470512938e-07
129.0	2.0957117788658263e-07
130.0	2.1023398854616373e-07
131.0	2.1083288662237512e-07
132.0	2.1136747217321306e-07
133.0	2.1183774515753317e-07
134.0	2.122434055936948e-07
135.0	2.1258445350053342e-07
136.0	2.1286078889686002e-07
137.0	2.1307221178158127e-07
138.0	2.1321882219396699e-07
139.0	2.133004201528658e-07
140.0	2.1331700569743414e-07
141.0	2.132686788672761e-07
142.0	2.1315533968180429e-07
143.0	2.1297708820049634e-07
144.0	2.1273402444382519e-07
145.0	2.1242604850967938e-07
146.0	2.120534604001585e-07
147.0	2.11616260213708e-07
148.0	2.1111454799079264e-07
149.0	2.1054862379264236e-07
150.0	2.099184877177174e-07
151.0	2.0922443980811565e-07
152.0	2.0846658016298655e-07
153.0	2.0764530884485764e-07
154.0	2.067608259537754e-07
155.0	2.0581323158903924e-07
156.0	2.0480302579535043e-07
157.0	2.0373040871153233e-07
158.0	2.025957804204473e-07
159.0	2.0139944104268117e-07
160.0	2.0014169067978048e-07
161.0	1.9882302941625153e-07
162.0	1.9744375739226858e-07
163.0	1.960043747119496e-07
164.0	1.945052814977996e-07
165.0	1.9294687791035275e-07
166.0	1.913297640178937e-07
167.0	1.8965443998270827e-07
168.0	1.879212059649631e-07
169.0	1.861308620554781e-07
170.0	1.8428370841516524e-07
171.0	1.8238044520979653e-07
172.0	1.804216725671019e-07
173.0	1.7840789065146912e-07
174.0	1.763397995931389e-07
175.0	1.7421799959608006e-07
176.0	1.720430907905697e-07
177.0	1.6981587332917797e-07
178.0	1.6753684743482225e-07
179.0	1.652068132433121e-07
180.0	9.528501789302397e-07
