hy_d(nm)    hx_d(nm)    a_d(nm)     g_om(Hz)    g_sm(Hz)    f_opt(Hz)   f_mech(Hz)   Q_opt       Q_mech      Fid         Rate(Hz)    Cost        T_pump   
2.111416E+02   3.450302E+02   4.671458E+02   3.261649E+05   9.255805E+06   1.977216E+14   5.334557E+09   8.207662E+04   1.070119E+07   9.650982E-01   1.646043E+04   3.940140E-02   1.105295E-08
2.183225E+02   3.465849E+02   4.629525E+02   3.329260E+05   8.944010E+06   1.992404E+14   5.327422E+09   8.129580E+04   4.948868E+06   9.648489E-01   1.679301E+04   3.956065E-02   1.105295E-08
2.192828E+02   3.427608E+02   4.554262E+02   3.462224E+05   9.103954E+06   2.011685E+14   5.354598E+09   6.662814E+04   5.367244E+07   9.650976E-01   1.676830E+04   3.931953E-02   1.263134E-08
2.153952E+02   3.441739E+02   4.554723E+02   3.469332E+05   9.109300E+06   2.011678E+14   5.352746E+09   6.748382E+04   1.708270E+07   9.649746E-01   1.705408E+04   3.936811E-02   1.263134E-08
2.189282E+02   3.415006E+02   4.720969E+02   3.133502E+05   9.071693E+06   1.963028E+14   5.327309E+09   7.822992E+04   8.676008E+06   9.650148E-01   1.652090E+04   3.946793E-02   1.263134E-08
2.270204E+02   3.422078E+02   4.662873E+02   3.217779E+05   9.201434E+06   1.982047E+14   5.324695E+09   1.191027E+05   2.454262E+07   9.648760E-01   1.793930E+04   3.925252E-02   8.463232E-09
2.281638E+02   3.390133E+02   4.695540E+02   3.131789E+05   8.957988E+06   1.970812E+14   5.330248E+09   1.007443E+05   1.705893E+07   9.646346E-01   1.861575E+04   3.934321E-02   1.105295E-08
2.106786E+02   3.346459E+02   4.638915E+02   3.295818E+05   8.953560E+06   1.978819E+14   5.387097E+09   7.324065E+04   5.047684E+06   9.647861E-01   1.694921E+04   3.958265E-02   1.263134E-08
2.148733E+02   3.486678E+02   4.683629E+02   3.269615E+05   9.124977E+06   1.977559E+14   5.311140E+09   7.955935E+04   3.740739E+07   9.647641E-01   1.816658E+04   3.931241E-02   1.263134E-08
2.121178E+02   3.356509E+02   4.565678E+02   3.427756E+05   9.187449E+06   2.000753E+14   5.395662E+09   1.185940E+05   2.413176E+07   9.649585E-01   1.764873E+04   3.923814E-02   7.405685E-09
2.305308E+02   3.391328E+02   4.652086E+02   3.216784E+05   8.823666E+06   1.983599E+14   5.334659E+09   1.142973E+05   3.024426E+06   9.646376E-01   1.711225E+04   3.968889E-02   8.463232E-09
2.261477E+02   3.460888E+02   4.669999E+02   3.236540E+05   9.334981E+06   1.982609E+14   5.308973E+09   8.174413E+04   1.132407E+08   9.647721E-01   1.828791E+04   3.927739E-02   1.263134E-08
2.300809E+02   3.445258E+02   4.688287E+02   3.172457E+05   8.960529E+06   1.977418E+14   5.307311E+09   8.854560E+04   6.405917E+06   9.649288E-01   1.673763E+04   3.949568E-02   1.105295E-08
2.271808E+02   3.454378E+02   4.626106E+02   3.287049E+05   8.679528E+06   1.995012E+14   5.316820E+09   6.449968E+04   3.563947E+07   9.650604E-01   1.664570E+04   3.938900E-02   1.443512E-08
2.180298E+02   3.285096E+02   4.551211E+02   3.395488E+05   8.779045E+06   2.001425E+14   5.419499E+09   7.089129E+04   1.734219E+07   9.649277E-01   1.717746E+04   3.938375E-02   1.263134E-08
2.128420E+02   3.492366E+02   4.634811E+02   3.344227E+05   9.144545E+06   1.991338E+14   5.320005E+09   5.053413E+04   8.582940E+06   9.646876E-01   1.744245E+04   3.955744E-02   1.885221E-08
2.231863E+02   3.335948E+02   4.663483E+02   3.158638E+05   8.993747E+06   1.974551E+14   5.366400E+09   8.114713E+04   3.906542E+07   9.649605E-01   1.729318E+04   3.932230E-02   1.263134E-08
2.258346E+02   3.349692E+02   4.704066E+02   3.110084E+05   9.149643E+06   1.965076E+14   5.347788E+09   5.155938E+04   5.991861E+06   9.645120E-01   1.763112E+04   3.968691E-02   2.154435E-08
2.187876E+02   3.484162E+02   4.703887E+02   3.196986E+05   9.404651E+06   1.972375E+14   5.303452E+09   8.317423E+04   4.090494E+07   9.647593E-01   1.826460E+04   3.929533E-02   1.263134E-08
2.158383E+02   3.473128E+02   4.731504E+02   3.126814E+05   9.469565E+06   1.963504E+14   5.305685E+09   8.399458E+04   6.230807E+07   9.648954E-01   1.773772E+04   3.927997E-02   1.263134E-08
2.170651E+02   3.517707E+02   4.733580E+02   3.182628E+05   9.395691E+06   1.966479E+14   5.288667E+09   8.477911E+04   2.272408E+06   9.646719E-01   1.630397E+04   3.986874E-02   1.105295E-08
2.119772E+02   3.458125E+02   4.718985E+02   3.570382E+05   1.165976E+07   1.964620E+14   5.320931E+09   8.760251E+04   2.970681E+07   9.647146E-01   1.907318E+04   3.916835E-02   9.671799E-09
2.133584E+02   3.428406E+02   4.740372E+02   3.104661E+05   9.420034E+06   1.957258E+14   5.325426E+09   7.637910E+04   3.672839E+06   9.644184E-01   1.808261E+04   3.967553E-02   1.443512E-08
2.108426E+02   3.491000E+02   4.698047E+02   3.244487E+05   9.274350E+06   1.972654E+14   5.312520E+09   7.204106E+04   5.178840E+07   9.646844E-01   1.844929E+04   3.932945E-02   1.443512E-08
2.079487E+02   3.456331E+02   4.715328E+02   3.179216E+05   9.765811E+06   1.964499E+14   5.327441E+09   9.188075E+04   1.069385E+07   9.648387E-01   1.771841E+04   3.934097E-02   1.105295E-08
2.101223E+02   3.477469E+02   4.744712E+02   8.202519E+05   3.219490E+07   1.958466E+14   5.308358E+09   8.652418E+04   6.225386E+07   9.650760E-01   1.935790E+04   3.875133E-02   1.705627E-09
2.123483E+02   3.481400E+02   4.748745E+02   3.124762E+05   9.438892E+06   1.958430E+14   5.304586E+09   8.292285E+04   2.495942E+07   9.649090E-01   1.752816E+04   3.931622E-02   1.263134E-08
2.090994E+02   3.450851E+02   4.752914E+02   3.102793E+05   9.487906E+06   1.954135E+14   5.320553E+09   8.257094E+04   3.890245E+06   9.646747E-01   1.725730E+04   3.961571E-02   1.263134E-08
2.084249E+02   3.489299E+02   4.729818E+02   3.168130E+05   9.698634E+06   1.962944E+14   5.310335E+09   8.630676E+04   3.209803E+07   9.651888E-01   1.653112E+04   3.929198E-02   1.105295E-08
2.096403E+02   3.482952E+02   4.773632E+02   3.066480E+05   9.190557E+06   1.951017E+14   5.301579E+09   6.220565E+04   2.221738E+07   9.651111E-01   1.629119E+04   3.943522E-02   1.649648E-08
2.231836E+02   3.472756E+02   4.696685E+02   5.961164E+05   2.162304E+07   1.974957E+14   5.303184E+09   8.177762E+04   1.318250E+07   9.651763E-01   1.822351E+04   3.888920E-02   3.324598E-09
2.226221E+02   3.468355E+02   4.724030E+02   3.149129E+05   9.376721E+06   1.966992E+14   5.300625E+09   8.994547E+04   1.046359E+07   9.649961E-01   1.692563E+04   3.937967E-02   1.105295E-08
2.247180E+02   3.500076E+02   4.689641E+02   3.208131E+05   9.139317E+06   1.979340E+14   5.290980E+09   5.758758E+04   9.439086E+07   9.651666E-01   1.626133E+04   3.938827E-02   1.649648E-08
2.226157E+02   3.478958E+02   4.668649E+02   3.239396E+05   9.141848E+06   1.983359E+14   5.307986E+09   7.029069E+04   2.571289E+07   9.647952E-01   1.782145E+04   3.936021E-02   1.443512E-08
2.256164E+02   3.466012E+02   4.712703E+02   3.168358E+05   9.188560E+06   1.970800E+14   5.298513E+09   1.029976E+05   2.760953E+06   9.645849E-01   1.719684E+04   3.972010E-02   9.671799E-09
2.050264E+02   3.284809E+02   4.546392E+02   3.449771E+05   9.534522E+06   1.999255E+14   5.441066E+09   5.887257E+04   1.990911E+07   9.650189E-01   1.687093E+04   3.937107E-02   1.443512E-08
2.212019E+02   3.450134E+02   4.701409E+02   3.201764E+05   9.372349E+06   1.971613E+14   5.314995E+09   8.519805E+04   2.848918E+07   9.651679E-01   1.653373E+04   3.931211E-02   1.105295E-08
2.101223E+02   3.477469E+02   4.744712E+02   8.202519E+05   3.219490E+07   1.958466E+14   5.308358E+09   8.652418E+04   6.225386E+07   9.650760E-01   1.935790E+04   3.875133E-02   1.705627E-09
